1.0687,1.0404,1.0841
1.0774,1.045,1.0949
1.086,1.0494,1.1057
1.0945,1.0538,1.1164
1.1031,1.058,1.1271
1.1115,1.062,1.1379
1.12,1.0659,1.1486
1.1284,1.0697,1.1593
1.1367,1.0733,1.1699
1.145,1.0768,1.1806
1.1533,1.0802,1.1912
1.1615,1.0834,1.2019
1.1697,1.0864,1.2125
1.1778,1.0894,1.223
1.1859,1.0921,1.2336
1.1939,1.0947,1.2441
1.2019,1.0972,1.2546
1.2098,1.0995,1.265
1.2177,1.1017,1.2755
1.2255,1.1037,1.2859
1.2333,1.1055,1.2963
1.2411,1.1073,1.3066
1.2488,1.1088,1.3169
1.2564,1.1102,1.3272
1.264,1.1115,1.3374
1.2715,1.1126,1.3476
1.279,1.1135,1.3578
1.2865,1.1143,1.3679
1.2938,1.1149,1.378
1.3012,1.1154,1.388
1.3085,1.1157,1.398
1.3157,1.1159,1.4079
1.3229,1.1159,1.4178
1.33,1.1158,1.4277
1.3371,1.1155,1.4375
1.3442,1.115,1.4473
1.3511,1.1144,1.457
1.3581,1.1136,1.4666
1.365,1.1127,1.4762
1.3718,1.1116,1.4858
1.3786,1.1104,1.4953
1.3853,1.109,1.5047
1.392,1.1075,1.5141
1.3987,1.1058,1.5234
1.4052,1.1039,1.5327
1.4118,1.1019,1.5419
1.4183,1.0997,1.551
1.4247,1.0974,1.5601
1.4311,1.0949,1.5691
1.4375,1.0923,1.5781
1.4438,1.0895,1.587
1.45,1.0866,1.5958
1.4562,1.0835,1.6046
1.4624,1.0802,1.6133
1.4685,1.0769,1.6219
1.4746,1.0733,1.6305
1.4806,1.0696,1.6389
1.4866,1.0658,1.6474
1.4925,1.0618,1.6557
1.4984,1.0576,1.664
1.5043,1.0533,1.6722
1.5101,1.0489,1.6803
1.5158,1.0443,1.6883
1.5215,1.0396,1.6963
1.5272,1.0347,1.7042
1.5328,1.0297,1.712
1.5384,1.0245,1.7197
1.544,1.0192,1.7274
1.5495,1.0138,1.735
1.555,1.0082,1.7424
1.5604,1.0024,1.7498
1.5658,0.99655,1.7572
1.5712,0.99054,1.7644
1.5765,0.98438,1.7716
1.5818,0.9781,1.7786
1.587,0.97167,1.7856
1.5923,0.96512,1.7925
1.5974,0.95842,1.7993
1.6026,0.9516,1.806
1.6077,0.94464,1.8127
1.6128,0.93755,1.8192
1.6178,0.93034,1.8256
1.6228,0.92299,1.832
1.6278,0.91552,1.8383
1.6328,0.90792,1.8444
1.6377,0.90019,1.8505
1.6426,0.89234,1.8565
1.6475,0.88437,1.8624
1.6523,0.87628,1.8682
1.6571,0.86807,1.8739
1.6619,0.85974,1.8795
1.6667,0.85129,1.885
1.6714,0.84272,1.8904
1.6761,0.83404,1.8957
1.6808,0.82525,1.9009
1.6855,0.81634,1.906
1.6901,0.80732,1.911
1.6948,0.79819,1.9159
1.6994,0.78896,1.9208
1.704,0.77961,1.9255
1.7085,0.77017,1.9301
1.7131,0.76061,1.9346
1.7176,0.75096,1.939
1.7221,0.7412,1.9433
1.7266,0.73134,1.9475
1.7311,0.72139,1.9516
1.7356,0.71134,1.9556
1.74,0.70119,1.9594
1.7444,0.69095,1.9632
1.7489,0.68062,1.9669
1.7533,0.6702,1.9705
1.7577,0.65968,1.9739
1.7621,0.64908,1.9773
1.7665,0.6384,1.9805
1.7708,0.62762,1.9837
1.7752,0.61677,1.9867
1.7796,0.60584,1.9897
1.7839,0.59482,1.9925
1.7883,0.58373,1.9952
1.7926,0.57256,1.9978
1.797,0.56131,2.0003
1.8013,0.55,2.0027
1.8056,0.53861,2.005
1.8099,0.52715,2.0072
1.8143,0.51562,2.0092
1.8186,0.50403,2.0112
1.8229,0.49237,2.013
1.8272,0.48064,2.0148
1.8316,0.46886,2.0164
1.8359,0.45702,2.0179
1.8402,0.44511,2.0193
1.8446,0.43316,2.0206
1.8489,0.42114,2.0218
1.8532,0.40908,2.0229
1.8576,0.39696,2.0239
1.8619,0.38479,2.0248
1.8663,0.37257,2.0255
1.8707,0.36031,2.0262
1.875,0.34801,2.0267
1.8794,0.33566,2.0271
1.8838,0.32327,2.0275
1.8882,0.31084,2.0277
1.8926,0.29837,2.0278
1.897,0.28587,2.0278
1.9015,0.27333,2.0277
